key,C-V1-E
1,12352
1,21851
1,5468
1,122000
1,210370.3
1,1800
1,1500
1,666000
1,1333
0,31044
0,700000
0,2000
1,1333
0,16250
1,2666666
1,2500000
0,48648
0,52173
0,745454
0,287058
0,300000
0,666
0,1290322
1,467857
0,3100
1,666
1,293333
0,131250
0,2222
1,1135000
0,1333
0,5125000
0,3333
0,560000
1,122500
0,189677.4
1,188387.09
0,357575.7
1,22666
1,625000
1,115151
1,11428571
1,20000
0,20000
1,40967.7
1,87500
0,1412000
1,8750000
1,6666.6
0,11764.7
1,350000
0,166666.66
0,40000
0,23333.33
1,125000
0,125000
1,125000
0,1866666
0,1866666.6
0,13333
1,1290322.5
1,66666.6
1,1833333.3
1,2500000
1,15333.3
0,15333.3
1,3988292.6
1,175000
0,12500000
0,483870
1,8000
