Key,1E,2E,2D,3E,3P,3S
1,0,0,9.814516129,0,0,0
1,9.89,17.11,56.95,2.798387097,50.62096774,16.50806452
0,2.39516129,48.36290323,0,19.41129032,0,0
0,7.72,107.875,14.408,21.185,91.87,0
0,32.35,15.39602098,0.048387097,2.000573128,14.26698872,1
0,1.14516129,6.709677419,0,0,0,0
1,40.25806452,19.73387097,0,0,0,0
1,32.11290323,0,0,13.96774194,15.41935484,37.67741935
0,0,21.06451613,0,0.540322581,0,0
1,34.97580645,0,7.919354839,0,0,0
0,2.35483871,0,0,0.903225806,0,9.129032258
0,6.064516129,0,21.79032258,0,0,0
1,31.30645161,1.467741935,35.98387097,0,0,0
1,0,12.11290323,0,0,0,0
1,12.19354839,0,0,0,0,0
1,1.225806452,0,0,0,0,0
0,0.258064516,2.919354839,39.53225806,31.14516129,8.080645161,12.19354839
1,1.548387097,0,2.032258065,0,0,0
1,0,9.370967742,6.790322581,14.69354839,19.85483871,0
0,0,0.903225806,2.758064516,0,1.467741935,0
0,0,0,5.258064516,0,5.983870968,0
1,0,0,3.967741935,0,0,0
1,0,0,30.25806452,0,18.48387097,0
1,0,10.41935484,13.24193548,0,4.693548387,0
1,0,0,32.75806452,0,28.56451613,0
