Key,C-V1-E,C-V2-E
1,2666666,150666
1,2500000,43636
0,287058,140625
0,300000,1000000
0,666,200000
0,1290322,5000000
1,666,1200
1,293333,332500
0,2222,108125
1,1135000,2580
0,1333,14218
0,189677.4,93548
1,188387.09,233333
1,115151,261290.3
1,11428571,13333
1,6666.6,800000
0,166666.66,1500000
1,125000,3333
1,125000,12903225.8
0,1866666,10000
0,1866666.6,2666.6
1,1290322.5,2000
1,66666.6,42666.6
1,2500000,45000
1,15333.3,12666.6
0,12500000,10000000
0,483870,2413793.1
1,8000,833333.3
1,12352,58800
1,21851,766451
1,5468,12404
1,122000,2400
1,210370.3,374375
1,1800,19393
1,1500,0
1,666000,232142
1,1333,0
0,31044,128571
0,700000,3428
0,2000,1333
1,1333,42962
0,16250,2000
0,48648,3225
0,52173,6285
0,745454,61052
1,467857,0
0,3100,13000
0,131250,60000
0,5125000,162857
0,3333,6060
0,560000,6060
1,122500,212121
0,357575.7,10000
1,22666,1333
1,625000,22857.1
1,20000,9333.3
0,20000,11000000
1,40967.7,384.615
1,87500,32000
0,1412000,212500
1,8750000,24000
0,11764.7,666666.66
1,350000,0
0,40000,33333
0,23333.33,3333
0,125000,95625
0,13333,10000
1,1833333.3,400000
0,15333.3,38000
1,3988292.6,22222.2
1,175000,2100000
