Key,V1 +,V1 -,V2 +,V2 -,V3 +,V3 -
0,100,0,100,0,41,59
1,0,100,0,100,0,100
1,100,0,100,0,100,0
1,100,0,72,28,33,67
1,100,0,100,0,100,0
1,100,0,100,0,100,0
1,100,0,100,0,100,0
1,76,24,78,22,58,42
1,100,0,100,0,100,0
1,0,100,0,100,0,100
1,87,13,95,5,0,0
0,100,0,100,0,100,0
1,100,0,100,0,0,0
1,100,0,100,0,100,0
1,100,0,0,100,0,100
1,100,0,100,0,100,0
0,100,0,100,0,100,0
1,100,0,100,0,100,0
0,100,0,100,0,100,0
1,75,25,75,25,75,25
0,77,23,75,25,83,17
0,100,0,100,0,57,43
1,62,38,100,0,100,0
1,100,0,100,0,100,0
1,100,0,100,0,100,0
1,100,0,100,0,100,0
1,0,100,10,90,10,90
1,85,15,0,100,0,100
1,27,63,70,30,50,50
0,10,90,58,42,43,57
1,100,0,100,0,100,0
1,100,0,100,0,100,0
0,100,0,100,0,100,0
1,100,0,100,0,100,0
1,100,0,100,0,100,0
1,100,0,100,0,100,0
1,83,17,76,24,85,16
1,100,0,100,0,100,0
1,90,10,63,37,98,2
1,100,0,100,0,100,0
1,10,90,17,83,12,88
0,100,0,0,100,0,100
0,0,100,0,100,74,26
1,100,0,100,0,100,0
1,60,40,100,0,100,0
1,100,0,100,0,100,0
1,100,0,100,0,100,0
1,100,0,100,0,0,100
1,10,90,29,71,27,73
1,100,0,100,0,100,0
1,45,55,27,73,38,62
0,100,0,100,0,100,0
1,0,0,0,100,100,0
1,100,0,100,0,100,0
1,100,0,100,0,100,0
1,100,0,100,0,100,0
1,100,0,100,0,100,0
0,100,0,75,25,25,75
1,100,0,100,0,100,0
1,100,0,84,16,81,19
0,0,100,100,0,100,0
1,100,0,100,0,100,0
1,100,0,100,0,100,0
