Key,1E,2E,2D,3E,3P,3S
1,0,0,9.814516129,0,0,0
1,9.89,17.11,56.95,2.798387097,50.62096774,16.50806452
0,2.39516129,48.36290323,0,19.41129032,0,0
0,7.72,107.875,14.408,21.185,91.87,0
0,32.35,15.39602098,0.048387097,2.000573128,14.26698872,1
0,1.14516129,6.709677419,0,0,0,0
1,40.25806452,19.73387097,0,0,0,0
1,32.11290323,0,0,13.96774194,15.41935484,37.67741935
0,0,21.06451613,0,0.540322581,0,0
1,34.97580645,0,7.919354839,0,0,0
0,2.35483871,0,0,0.903225806,0,9.129032258
0,6.064516129,0,21.79032258,0,0,0
1,31.30645161,1.467741935,35.98387097,0,0,0
1,0,12.11290323,0,0,0,0
1,12.19354839,0,0,0,0,0
1,1.225806452,0,0,0,0,0
0,0.258064516,2.919354839,39.53225806,31.14516129,8.080645161,12.19354839
1,1.548387097,0,2.032258065,0,0,0
1,0,9.370967742,6.790322581,14.69354839,19.85483871,0
0,0,0.903225806,2.758064516,0,1.467741935,0
0,0,0,5.258064516,0,5.983870968,0
1,0,0,3.967741935,0,0,0
1,0,0,30.25806452,0,18.48387097,0
1,0,10.41935484,13.24193548,0,4.693548387,0
1,0,0,32.75806452,0,28.56451613,0
1,15.33,15.37903226,3.885,15.5,11.965,78.76
1,3.5545,0.338,3.52,11.02,34.3295,75.5
1,5.17,8.08,19.285,0.054,3.64,46.985
1,32.19,51.34,68.2,22.59,93.64,0
1,10.58,38.93,29.97,13.16,28.81,35.62
1,2190.822581,1420.5,591.3064516,1017.435484,0,0
1,0.1,0,17.51,0,0,0
1,0,0,5.540322581,4.290322581,4.411290323,0
1,0,0,7.79,0,0,0
0,41.06451613,0,19.4516129,31.91129032,0,0
0,0,9.209677419,1,33.92741935,69.16935484,0
0,11.02419355,6.467741935,29.97580645,34.81451613,33.92741935,19.20967742
1,0,0,0,11.30645161,10.54032258,0
0,5.17,18.315,42.47,7.879032258,45.98387097,0
0,1.5,3.68,86.91,0,14.37096774,13.68548387
0,15.09677419,38.12,128.6451613,121.4677419,2.475806452,36.02419355
0,22.755,0,56.26,0,35.295,41.745
1,0,0,9.290322581,0,9.290322581,41.22580645
0,2.35483871,32.11290323,6.830645161,12.67741935,1.911290323,12.11290323
0,0,0,0,0,14.00806452,54.41129032
0,50.74193548,19.29032258,48.60483871,0,16.5483871,37.27419355
0,14.97580645,30.45967742,34.77419355,8.040322581,24.16935484,45.33870968
0,0,20.21774194,44.49193548,36.10483871,0.782258065,52.19354839
1,17.11290323,0,0,0,16.46774194,0
0,7.516129032,-5.225806452,-7.080645161,0,0,0
1,0,-7.080645161,-6.112903226,0,0,0
1,0.741935484,0,0,0,0,0
1,0,7.677419355,19.85483871,22.91935484,0,10.33870968
0,0,0.903225806,50.82258065,24.12903226,0,23.96774194
1,5.419354839,0,0,19.69354839,0,50.66129032
1,0,0.903225806,18.64516129,17.11290323,0,0
0,8.241935484,0,23,32.11290323,12.11290323,0.580645161
1,0,0,25.09677419,0,0,0
0,0,14.93548387,28.56451613,0,11.06451613,0
1,4.451612903,0,0,0,0,0
0,13.80645161,4.85483871,42.11290323,15.41935484,2.758064516,0
0,0.903225806,0,39.69354839,0,24.53225806,0
0,0,0,0.661290323,0,8.64516129,0
0,0,0,0,0,0,0
1,0.096774194,15.25806452,19.12903226,9.612903226,36.5483871,0
0,0,0.5,12.51612903,0,9.451612903,0
1,30.98387097,0,0,0,0,0
